Year,Mo,Dy,Hr,Mn,Sec,Tsunami_Event_Validity,Tsunami_Cause_Code,Earthquake_Magnitude,Deposits,Latitude,Longitude,Maximum_Water_Height,Number_of_Runups,Tsunami_Magnitude,Tsunami_Intensity,Total_Deaths,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Damage,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Damaged,Country,Location_Name
1824,9,13,,,,-1,9,,0,16.7,-62.2,,1,,,,,,,,,,,GUADELOUPE (FRENCH TERRITORY),BASSE TERRE
1824,10,26,,,,1,1,,0,14.25,121.25,,1,,1,,,,,,2,,,PHILIPPINES,W. LUZON ISLAND
1824,11,30,,,,2,1,,0,14.4,-61,,1,,,,,,,,,,,MARTINIQUE (FRENCH TERRITORY),SAINT PIERRE
1825,1,3,,,,1,0,,0,,,,0,,,,,,,,,,,DENMARK,DENMARK
1825,1,19,11,45,,1,1,6.8,0,38.8,20.7,,1,,3,58,,,,,3,,,GREECE,IONIAN SEA
1825,2,26,,,,1,1,6.3,0,11.1,-74.1,,1,,,,,,,,,,,COLOMBIA,SANTA MARTA
1825,3,21,,,,-1,6,,0,54.77,-164.18,,1,,0.5,,,,,,,,,USA,"UNIMAK ISLAND, AK"
1825,4,,,,,2,1,,0,14,143.3,,1,,,,,,,,2,,,USA TERRITORY,"GUAM, MARIANA ISLANDS"
1825,9,21,1,45,,2,1,,0,10.4,-61.3,,1,,,,,,,,,,,TRINIDAD AND TOBAGO,PORT-OF-SPAIN
1826,1,,,,,3,1,,0,27.07,142.21,,1,,,,,,,,1,,,JAPAN,CHICHI JIMA
1826,3,18,0,20,,2,1,,0,43.8,13,,1,,3,,,,,,,,,ITALY,SENIGALLIA
1826,10,22,,,,-1,6,,0,55,-165,,1,,,,,,,,,,,USA,"UNIMAK ISLAND, AK"
1826,,,,,,3,1,,1,-45.78,166.48,,1,,,,,,,,,,,NEW ZEALAND,DUSKY SOUND
1827,1,18,,,,1,9,,0,,,,1,,,,,,,,,,,USA,N. CALIFORNIA
1827,8,8,,,,-1,4,,0,,,,1,,,,,,,,,,,USA,"ALASKA PENINSULA, AK"
1827,8,9,,,,3,4,,1,53,158.5,,2,,1.5,,,,,,1,,,RUSSIA,KAMCHATKA
1827,11,16,22,45,,-1,1,7,0,-1.8,-76.4,,2,,,,,,,,,,,ECUADOR,ECUADOR
1827,,,,,,-1,6,,0,,,,0,,,,,,,,,,,USA,"E. ALEUTIAN ISLANDS, AK"
1828,3,30,12,35,0,-1,1,8.3,0,,,,0,,,,,,,,,,,PERU,CENTRAL PERU
1828,5,26,,,,4,1,6.4,0,32.6,129.9,,2,,,,,,,,,,,JAPAN,AMAKUSA SEA
1828,10,9,13,11,,2,1,,0,44.8,9.2,,1,,3,,,,,,,,,ITALY,GENOA
1828,11,9,10,30,,1,1,7.5,0,14.55,120.9,,1,,0.5,,,,,,1,,,PHILIPPINES,W. LUZON ISLAND
1828,12,18,,,,-1,1,6.9,0,,,,0,,,1443,,,,,4,11750,,JAPAN,NW. HONSHU ISLAND
1828,12,29,,,,-1,1,,0,,,,0,,,,,,,,,,,INDONESIA,FLORES SEA
1829,5,23,,,,2,1,7.3,0,41.1,24.3,,1,,2,,,,,,,,,TURKEY,CONSTANTINOPLE
1829,9,26,,,,-1,1,,0,,,,0,,,,,,,,1,,,CHILE,SC. CHILE
1830,1,10,,,,1,0,,0,,,,0,,,,,,,,,,,HOLLAND,HOLLAND
1830,1,18,9,15,,0,1,,0,14.55,120.9,1,1,,,,,,,,2,,,PHILIPPINES,W. LUZON ISLAND
1830,9,16,,,,0,1,,0,14.55,120.9,,1,,1,,,,,,,,,PHILIPPINES,W. LUZON ISLAND
1831,5,26,11,30,,2,1,,0,43.8,7.8,,1,,3,,,,,,,,,ITALY,SAN REMO
1831,7,2,,,,2,1,,0,37.05,12.3,,1,,1,,,,,,,,,ITALY,SCIACCA
1831,12,3,23,40,,1,1,,0,12.4,-61.5,,2,,,,,,,,,,,TRINIDAD AND TOBAGO,TRINIDAD & ST. CHRISTOPHER
1831,,,,,,3,1,,0,-38.7,178,,0,,,,,,,,,,,NEW ZEALAND,"POVERTY BAY, NORTH ISLAND"
1832,3,8,1,15,,2,1,,0,39,17,,1,,3,234,,,,,,,,ITALY,CUTRO
1833,1,19,,,,2,1,6.4,0,40.4,19.9,,2,,4,,,,,,2,,,ALBANIA,ALBANIA
1833,3,10,,,,3,1,,0,16.8,-99.9,,1,1,0.5,,,,,,,,,MEXICO,S. MEXICO
1833,9,6,,,,0,1,8,0,25.2,103,,1,,,6700,,,,,4,87620,,CHINA,YUNNAN PROVINCE
1833,9,18,10,45,,1,1,7.7,0,-18.251,-71.01,9,1,,,700,,,25,,3,1001,,PERU,S. PERU
1833,11,24,,,,4,1,8.3,0,-2.5,100.5,,6,,2.5,,,,,,2,,,INDONESIA,SW. SUMATRA
1833,12,7,,,,4,1,7.4,1,38.9,139.15,9,27,2.5,2.5,85,,,,,3,1140,1790,JAPAN,NW. HONSHU ISLAND
