Year,Mo,Dy,Hr,Mn,Sec,Tsunami_Event_Validity,Tsunami_Cause_Code,Earthquake_Magnitude,Deposits,Latitude,Longitude,Maximum_Water_Height,Number_of_Runups,Tsunami_Magnitude,Tsunami_Intensity,Total_Deaths,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Damage,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Damaged,Country,Location_Name
1868,10,18,12,35,,4,1,7.6,0,-40.2,173,3,5,,,,,,,,,,,NEW ZEALAND,NEW ZEALAND
1868,10,21,15,53,,3,3,6.8,0,37.7,-122.1,4.5,4,2.2,0.5,30,,,,0.35,1,,,USA,N. CALIFORNIA
1869,1,4,1,30,,1,0,,0,-39.05,174.07,,0,,,,,,,,,,,NEW ZEALAND,NORTH ISLAND
1869,1,27,,,,2,1,,0,-36.6,-73,,1,,,,,,,,,,,CHILE,CENTRAL CHILE
1869,2,6,,,,2,1,,0,-39.9,-73.4,,1,,,,,,,,,,,CHILE,SOUTHERN CHILE
1869,2,10,12,59,,1,1,,0,,,,1,,,,,,,,,,,USA,N. CALIFORNIA
1869,2,13,12,59,,1,1,,0,,,,1,,0,,,,,,,,,USA,N. CALIFORNIA
1869,3,2,,,,3,0,,0,-42.719,170.961,0.6,3,,,,,,,,,,,NEW ZEALAND,NEW ZEALAND
1869,3,31,18,0,,2,0,,0,-45.09,170.98,,0,,,,,,,,,,,NEW ZEALAND,SOUTH ISlAND
1869,4,22,,,,1,1,,0,-12.1,-77.1,,1,,1,,,,,,3,,,PERU,PERU
1869,6,1,,,,3,0,,0,,,,1,,,,,,,,,,,USA,N. CALIFORNIA
1869,6,25,,,,2,1,,0,-19.6,-70.2,,1,,,,,,,,,,,CHILE,NORTHERN CHILE
1869,7,24,,,,3,0,,0,20,-155,8.2,8,3.2,3,,,,,,2,,,USA,"OFF N COAST OF OAHU, HAWAII"
1869,8,9,,,,3,1,,0,-30,-71.4,3,1,,1.5,,,,,,,,,CHILE,CENTRAL CHILE
1869,8,11,,,,1,0,,0,-33.8,151.3,,0,,-1,,,,,,,,,AUSTRALIA,SYDNEY HARBOR
1869,8,16,7,0,,2,1,7,0,12.5,123.5,,1,,0,,,,,,3,,,PHILIPPINES,SULU SEA
1869,8,19,,,,-1,1,6.5,0,,,,0,,,,,,,,,,,PERU,S. PERU
1869,8,21,16,40,,1,1,6.8,0,-21,-70,,1,,0,,,,,,,,,CHILE,NORTHERN CHILE
1869,8,24,17,10,,3,1,7.5,0,-19.6,-70.23,2,3,,1.5,,,,,,1,,,CHILE,NORTHERN CHILE
1869,9,9,,,,2,1,,0,,,,0,,,,,,,,,,,GREECE,AEGEAN SEA
1869,10,11,13,,,1,1,5.6,0,44.75,35,,0,,3,,,,,,,,,UKRAINE,BLACK SEA
1869,12,28,,,,2,1,6.9,0,38.8,20.7,,1,,3,,,,,,,,,GREECE,IONIAN SEA
1870,4,6,19,30,,2,0,,0,-41.29,174.78,0.6,1,,,,,,,,,,,NEW ZEALAND,WELLINGTON
1870,4,29,,,,-1,,,0,-41.75,171.58,,0,,,,,,,,,,,NEW ZEALAND,WESTPORT
1870,5,11,23,30,,3,1,7.9,0,15.4,-96.3,,1,,,24,,,20,,3,,,MEXICO,"PUERTO ANGEL, MEXICO"
1870,6,9,13,10,,2,1,,0,,,,0,,,,,,,,1,,,GUADELOUPE (FRENCH TERRITORY),GUADELOUPE
1870,6,24,,,,3,1,,0,36,26,,1,,3,,,,,,1,,,EGYPT,ALEXANDRIA
1870,7,29,,,,2,1,,0,43.03,16.15,,1,,3,,,,,,,,,CROATIA,ADRIATIC SEA
1870,8,1,0,45,,1,1,7,0,38.5,22.5,,1,,4,100,,,,,2,,,GREECE,IONIAN SEA
1870,8,6,,,,3,1,,0,,,,0,,,,,,,,,,,CROATIA,ADRIATIC SEA
1870,8,12,,,,1,0,,0,-33.8,151.3,,0,,-1,,,,,,,,,AUSTRALIA,SYDNEY HARBOR
1870,10,20,,,,2,3,,0,47.4,-70.5,,0,,,2,,,,,1,16,,CANADA,"CAPE TRINITY, QUEBEC"
1870,10,28,9,45,,3,1,,0,39.28,16.28,,0,,,,,,,,,,,ITALY,TYRRHENIAN SEA
1870,11,2,3,30,,2,1,,0,,,,0,,,,,,,,,,,ITALY,CALABRIAN ARC
1871,1,17,,,,1,1,,0,,,,0,,4,,,,,,,,,ITALY,LIGURIAN SEA
1871,2,5,,,,2,1,,0,-13.65,-76.4,,1,,1,,,,,,,,,PERU,S. PERU
1871,2,7,,,,2,1,,0,18.2,-94.5,0.3,1,,,,,,,,,,,MEXICO,S. MEXICO
1871,2,18,,,,-1,0,,0,,,,0,,,,,,,,,,,USA,HAWAII
1871,2,20,8,41,,1,1,7,0,20.7,-157,,1,,,,,,,,2,,,USA,HAWAII
1871,3,3,,,,4,6,,1,2.28,125.425,25,5,4.6,3.5,400,,,,,2,75,,INDONESIA,RUANG
1871,3,25,,,,2,1,7.5,0,-35,-72.5,1,2,,0.5,,,,,,3,,,CHILE,CENTRAL CHILE
1871,3,,,,,1,0,,0,-41.75,171.58,,0,,,,,,,,,,,NEW ZEALAND,WESTPORT
1871,4,30,,,,1,6,,0,9.203,124.673,,1,,2,,,,,,3,,,PHILIPPINES,SULU SEA
1871,6,18,0,0,0,2,1,,0,40.5,-73.9,,1,,,,,,,,,,,USA,"LONG ISLAND, NEW YORK"
1871,8,20,,,,2,1,,0,-33.1,-71.7,,2,-1,0.5,,,,,,,,,CHILE,CENTRAL CHILE
1871,8,21,,,,2,1,7,0,-13,-77,,2,1,1,,,,,,,,,PERU,S. PERU
1871,8,25,,,,1,1,,0,0.5,123,,1,,0,,,,,,,,,INDONESIA,N. MOLUCCAS ISLANDS
1871,8,,,,,1,0,,0,-42.72,170.96,,0,,,,,,,,,,,NEW ZEALAND,"HOKITIKA RIVER, SOUTH ISLAND"
1871,9,7,,,,1,0,,0,48.7,-2,,1,,,,,,,,,,,FRANCE,NORTHERN FRANCE: ILLE-ET-VILAINE
1871,10,5,9,,,-1,1,,0,,,,0,,,,,,,,,,,CHILE,NORTHERN CHILE
1871,10,5,,,,1,0,,0,,,,0,,,,,,,,,,,GREECE,CORINTH GULF
1871,12,28,,,,2,1,,0,-41.5,-73,,1,,0.5,,,,,,,,,CHILE,SOUTHERN CHILE
1872,1,10,,,,1,1,6.5,0,-16.4,-71.5,,1,,0,,,,,,,,,PERU,S. PERU
1872,1,13,,,,-1,9,,0,,,,1,,,,,,,,,,,USA,HAWAII
1872,1,22,,,,-1,9,,0,,,,1,,,,,,,,,,,USA,HAWAII
1872,1,26,,,,3,1,6,0,16,119,,1,,1.5,,,,,,1,,,PHILIPPINES,PHILIPPINES
1872,3,14,8,20,,4,1,7.4,0,34.9,132,3,12,1.5,1,804,,,200,,1,5796,,JAPAN,SW. HONSHU ISLAND
1872,3,26,10,30,,-1,1,7.3,1,36.7,-118.1,,1,,,,,,,,,,,USA,S. CALIFORNIA
1872,4,3,5,45,,3,1,7.3,0,36.2,36.2,,1,,3,1800,,,,,3,,,TURKEY,SAMANDAG (SUAIDIYA)
1872,6,13,,,,1,0,,0,43.5,-78,0.6,1,,,,,,,,,,,USA,LAKE ONTARIO
1872,8,23,18,6,,4,1,,0,52.2,-168.5,1.3,8,1.6,0,,,,,,,,,USA,"FOX ISLANDS, ALEUTIAN ISLANDS, AK"
1872,8,27,,,,-1,0,,0,,,,0,,,,,,,,,,,USA,HAWAII
1872,9,16,,,,3,0,,0,,,0.1,2,,0,,,,,,,,,USA,"SAN FRANCISCO, N. CALIFORNIA"
1872,11,17,,,,2,1,,0,44.183,-68.917,0.51,2,,,,,,,,,,,USA,"PENOBSCOT BAY, MAINE"
1872,,,,,,4,1,,0,,,,0,,,,,,,,,,,ICELAND,ICELAND
1872,,,,,,3,1,,0,27.07,142.21,,1,,2,,,,,,1,,,JAPAN,BONIN ISLANDS [CHICHIJIMA ISLAND]
1873,7,7,,,,-1,1,,0,,,,0,,,,,,,,,,,CHILE,NC. CHILE/ SC. CHILE
1873,10,13,,,,1,1,,0,8.96,-79.53,,2,,,,,,,,,,,PANAMA,PANAMA CITY
1873,10,25,22,38,,-1,1,,0,,,,0,,,,,,,,,,,GREECE,IONIAN SEA
1873,11,19,,,,1,1,,0,-23.6,-70.4,,1,,2,,,,,,,,,CHILE,NORTHERN CHILE
1873,11,23,5,9,,3,3,6.7,0,42,-124,3.05,1,,,,,,,,,,,USA,N. CALIFORNIA
1873,,,,,,3,1,8,0,-5.5,146,,1,1,2,,,,,,2,,,PAPUA NEW GUINEA,MACLAY COAST
1874,3,11,,,,2,1,,0,18.1,-65.1,,2,,,,,,,,,,,USA TERRITORY,VIRGIN ISLANDS
1874,5,,,,,2,1,,0,22,89,,1,,,2000,,,,,,,,BANGLADESH,SUNDERBANS
1874,5,,,,,3,8,,0,58.64,-137.57,24.38,1,,,,,,,,,,,USA,"LITUYA BAY, AK"
1874,5,,,,,-1,1,,0,,,,0,,,,,,,,,,,INDONESIA,N. MOLUCCAS ISLANDS
1874,10,13,,,,1,0,,0,-43.328,145.9,,1,,,,,,,,,,,AUSTRALIA,TASMANIA
1875,2,23,,,,1,1,,0,20,-105,,1,,,,,,,,,,,MEXICO,S. MEXICO
1875,3,18,18,0,51,4,1,,0,44.2,12.4,,0,,4,,,,,,,,,ITALY,ADRIATIC SEA
1875,3,28,,,,3,1,8,0,-20,168.5,4,5,2,2.5,25,,,25,,3,,,NEW CALEDONIA,"LIFOU ISLAND, LOYALTY ISLANDS"
1875,5,10,,,,2,1,7,0,-18.5,168,,1,,0.5,,,,,,,,,VANUATU,VANUATU ISLANDS
1875,10,12,,,,-1,9,,0,,,,1,,,,,,,,,,,USA,N. CALIFORNIA
1875,,,,,,2,1,7,0,-6,147,,2,,,,,,,,,,,PAPUA NEW GUINEA,BISMARCK SEA
1876,5,28,,,,3,1,6.8,0,-3,127.25,0.3,1,,-1,,,,,,1,,,INDONESIA,CERAM SEA
1876,10,26,,,,2,2,,0,,,,1,,1,,,,,,,,,JAPAN,RYUKYU ISLANDS
1876,12,23,,,,3,0,,0,,,,0,,,,,,,,,,,ITALY,LIGURIAN SEA
1876,,,,,,-1,9,,0,,,,0,,,,,,,,,,,INDIA,BAY OF BENGAL
1877,2,2,,,,-1,4,,0,,,,0,,,,,,,,,,,USA,S.W. COAST OF HAWAII
1877,2,24,,,,2,4,,0,19.475,-155.608,,2,,0.5,,,,,,,,,USA,S.W. COAST OF HAWAII
1877,4,16,,,,1,9,,0,35,-120,1.8,2,1.8,2,,,,,,,,,USA,N. TO S. CALIFORNIA
1877,5,4,,,,1,6,,0,19.475,-155.608,,1,,1,,,,,,,,,USA,HAWAII
1877,5,10,0,59,,4,1,8.3,0,-21.5,-70.5,24,108,4.4,3.5,2385,,,,,3,,,CHILE,NORTHERN CHILE
1877,5,14,,,,2,1,,0,-12.07,-77.15,,1,,1,,,,,,,,,PERU,CENTRAL PERU
1877,5,15,,,,2,1,,0,-21.2,-70.1,,1,,,,,,,,,,,CHILE,NORTHERN CHILE
1877,6,15,,,,1,1,,0,-19.6,-70.2,,1,,,,,,,,,,,CHILE,NORTHERN CHILE
1877,8,23,,,,3,1,,0,-20.2,-70.1,1,1,,0.5,,,,,,,,,CHILE,NORTHERN CHILE
1877,9,2,,,,1,0,,0,-33,-71.6,,1,,0.5,,,,,,,,,CHILE,CENTRAL CHILE
1877,9,,,,,1,2,,0,10.8,108.3,,1,,,,,,,,,,,VIETNAM,BINH THUAN
1877,10,9,,,,1,1,,0,-24,-71,,2,,0.5,,,,,,,,,CHILE,NORTHERN CHILE
1877,10,11,,,,2,1,,0,3.88,-77.08,,2,,,,,,,,,,,COLOMBIA,BUENAVENTURA
1877,12,1,8,30,,2,0,,0,-38.02,178.33,,0,,,,,,,,,,,NEW ZEALAND,WAIPIRO BAY
1878,1,10,,,,3,1,7.5,2,-19,168.5,12,1,3.6,3,,,,,,1,,,VANUATU,TANNA ISLAND
1878,1,14,,,,-1,9,,0,,,,4,,,,,,,,1,,,USA,CALIFORNIA
1878,1,20,,,,3,1,,0,,,3.6,5,1.6,1.5,,,,,,1,3,,USA,"ALEUTIAN ISLANDS, AK"
1878,1,23,12,5,,1,1,7.9,0,-19.92,-70.335,,2,,,,,,,,3,,,CHILE,NORTHERN CHILE
1878,1,27,,,,3,0,,0,-12,-77,,1,,1.5,5,,,,,,,,PERU,CENTRAL PERU
1878,1,28,,,,1,0,,0,-33,-71.6,,5,,1.5,,,,,,1,,,CHILE,CENTRAL CHILE
1878,2,3,,,,1,0,,0,-20.2,-70.1,,2,,,,,,,,,,,CHILE,NORTHERN CHILE
1878,2,4,,,,3,1,,1,-4.25,152.25,,1,2,1,1,,,,,,,,PAPUA NEW GUINEA,BISMARCK SEA
1878,2,4,,,,1,1,,0,-12,-77,,1,,,,,,,,,,,PERU,CENTRAL PERU
1878,2,11,,,,3,1,8,0,-19,168.5,,1,1,1.5,,,,,,,,,VANUATU,TANNA ISLAND
1878,2,14,,,,2,1,,0,-36.8,-73,,1,-0.5,0,,,,,,,,,CHILE,CENTRAL CHILE
1878,3,12,,,,2,1,,0,-20.2,-70.1,,1,-0.5,0,,,,,,,,,CHILE,NORTHERN CHILE
1878,4,12,,,,2,1,,0,-20.2,-70.1,,1,,0.5,,,,,,,,,CHILE,NORTHERN CHILE
1878,4,19,9,,,1,1,6.6,0,40.7,29.7,,1,,3,40,,,500,,2,,,TURKEY,GULF OF IZMIT
1878,6,12,,,,2,1,,0,-23.7,-70.4,,1,,0,,,,,,,,,CHILE,NORTHERN CHILE
1878,6,30,,,,2,0,,0,-18.3,-70.5,,0,,0,,,,,,,,,CHILE,NORTHERN CHILE
1878,8,29,,,,1,4,,1,54,-167,,1,1,1.5,,,,,,,,,USA,"UNALASKA ISLAND, AK"
1878,8,,,,,1,6,,0,,,,0,,,,,,,,,,,INDONESIA,TAGRILAND ISLAND
1878,8,,,,,1,1,,0,-19,168.5,,0,,,,,,,,,,,VANUATU,TANNA ISLAND
1878,9,30,,,,1,0,,0,-20.2,-70.2,,2,,0.5,,,,,,,,,CHILE,NORTHERN CHILE
1878,10,11,,,,1,0,,0,,,,0,,,,,,,,,,,RUSSIA,TATAR STRAIT
1878,11,22,,,,3,8,,0,35.18,-120.731,1,9,2,1.5,1,,,,,1,,,USA,S. CALIFORNIA
1878,11,23,,,,2,0,,0,-33,-71.6,,1,,0.5,,,,,,,,,CHILE,CENTRAL CHILE
1879,2,4,,,,1,6,,0,38.789,15.213,,0,,,,,,,,,,,ITALY,STROMBOLI ISLAND
1879,4,27,6,45,,2,0,,0,-42.45,171.21,0.9,1,,,,,,,,,,,NEW ZEALAND,GREYMOUTH
1879,7,11,18,,,3,1,5.9,0,29,33,,1,,,,,,,,,,,EGYPT,GULF OF SUEZ
1879,7,29,,,,-1,1,,0,,,,0,,3,,,,,,,,,CROATIA,ADRIATIC SEA
1879,8,8,,,,2,0,,0,-33,-71.6,,1,,1.5,,,,,,,,,CHILE,CENTRAL CHILE
1879,8,10,21,7,,2,3,,0,34.227,-118.433,,1,,,,,,,,,,,USA,S. CALIFORNIA
1879,,,,,,1,0,,0,41.28,-70.08,,1,,,,,,,,,,,USA,"OFF COAST NANTUCKET, MASSACHUSETTS"
1880,4,14,,,,3,8,,0,62.083,7.117,,0,,3,,,,,,,,,NORWAY,WESTERN NORWAY
1880,4,26,7,45,,1,1,,0,37.27,14.68,,0,,,,,,,,,,,ITALY,CALIBRIAN ARC
1880,7,18,4,40,,4,3,7.5,0,16,121.85,,2,,0,20,,,50,,3,,,PHILIPPINES,E. LUZON ISLAND
1880,8,15,12,48,,1,1,7.7,0,-31.62,-71.18,,2,,0.5,2,,,,,3,600,,CHILE,CENTRAL CHILE
1880,9,2,,,,1,1,,0,,,,0,,,,,,,,,,,GREECE,IONIAN SEA
1880,9,8,9,30,,3,1,7,0,-38.85,178.85,,1,,,,,,,,,,,NEW ZEALAND,GISBORNE
1880,9,23,,,,1,0,,0,-33.8,151.3,0.08,0,,,,,,,,,,,AUSTRALIA,SYDNEY HARBOR
1880,9,29,4,,,3,1,6.3,0,55.8,-155.6,,2,,,,,,,,,,,USA,"CHIRIKOF ISLAND, AK"
1880,10,26,22,20,,3,3,6.3,0,57,-136,1.8,2,5.9,0,,,,,,,,,USA,"SITKA, AK"
1880,11,,,,,1,1,,0,36.7,137.3,,0,1,1,,,,,,,,,JAPAN,"TOYAMA PREF., JAPAN"
1881,4,3,11,40,,3,1,6.5,0,38.2,26.2,,0,,2,7866,,,,,4,,,GREECE,"CHIOS ISLAND, AEGEAN ISLANDS"
1881,4,11,,,,1,1,,0,38.2,26.2,,0,,,,,,,,,,,GREECE,"CHIOS ISLAND, AEGEAN ISLANDS"
1881,6,29,,,,3,1,,0,-43.69,172.9,3,2,,,,,,,,1,,,NEW ZEALAND,PIGEON BAY (BANKS PENINSULA)
1881,7,12,,,,2,1,,0,-16,179,0.46,1,1,1,,,,,,,,,FIJI,FIJI ISLANDS
1881,7,14,,,,3,1,,0,-20.2,-70.1,1.4,1,0.5,1,,,,,,,,,CHILE,NORTHERN CHILE
1881,8,12,,,,1,1,,0,17.97,-76.8,0.46,1,,,,,,,,,,,JAMAICA,KINGSTON
1881,10,25,,,,2,1,7,0,43.3,147.3,,2,,1.5,,,,,,,,,JAPAN,HOKKAIDO ISLAND
1881,10,27,,,,2,1,,0,-19.6,-70.2,,1,,,,,,,,,,,CHILE,NORTHERN CHILE
1881,11,24,,,,1,1,,0,,,,0,,,,,,,,,,,TONGA,ISLAND OF TONGATAPU
1881,12,15,20,,,2,8,,0,38.4,21.4,2,0,,3,,,,,,,,,GREECE,AETOLIKO LAGOON
1881,12,31,,,,3,1,7.9,1,8.52,92.43,1.22,11,0.3,,,,,,,3,,,INDIA,BAY OF BENGAL: W OF CAR NICOBAR IS
1882,1,,,,,3,1,,0,8.567,81.233,,1,,,,,,,,,,,SRI LANKA,SRI LANKA
1882,2,23,,,,2,1,,0,-33.58,-71.63,,1,,,,,,,,,,,CHILE,CENTRAL CHILE
1882,4,13,,,,2,1,,0,-41.32,175.84,1.2,1,,,,,,,,,,,NEW ZEALAND,"GLENBURN, WAIRARAPA"
1882,7,,,,,2,2,,1,10.8,108.1,,1,,,,,,,,,,,VIETNAM,BINH THUAN
1882,9,7,7,50,,4,3,7.9,0,10,-79,3,3,,1,,,,,,3,,,PANAMA,SAN BLAS ARCHIPELAGO
1882,9,14,,,,2,1,,0,-19.6,-70.2,,1,,,,,,,,,,,CHILE,NORTHERN CHILE
1882,10,10,,,,3,1,7.5,0,-4.5,129.9,,1,,0.5,,,,,,,,,INDONESIA,BANDA SEA
1882,12,9,,,,0,1,6.2,0,24.5,120.5,,0,,,8,,,3,,1,40,,TAIWAN,SOUTH CHINA SEA
1882,,,,,,-1,,,0,,,,0,,,,,,,,,,,CHINA,HUBEI PROVINCE
1883,3,12,,,,3,0,,0,,,,1,,2,,,,,,,,,MEXICO,S. MEXICO
1883,3,24,,,,2,2,,0,,,,1,,1,,,,,,1,,,SAMOA,SAMOA
1883,5,20,,,,1,0,,0,-6.004,106.781,,0,,1,,,,,,,,,INDONESIA,"HORN ISLAND [AYER ISLAND], JAKARTA"
1883,5,31,,,,1,0,,0,-2.25,106,,1,,0,,,,,,,,,INDONESIA,BANKA ISLAND
1883,6,27,,,,2,1,,0,39.5,20,,0,,3,,,,,,,,,GREECE,IONIAN ISLANDS
1883,8,27,2,59,,4,6,,14,-6.102,105.423,41,101,5.1,4,36417,,,,,4,,,INDONESIA,KRAKATAU
1883,10,6,19,4,,4,7,,8,59.4,-153.4,9.14,3,3.2,3,8,,,,,1,,,USA,"COOK INLET, AK"
1883,10,10,,,,2,6,,0,-6.102,105.423,,1,,0,,,,,,,,,INDONESIA,JAVA-S. JAVA
1883,11,14,,,,1,0,,0,19.133,-155.505,,0,,,,,,,,1,,,USA,"PUUNALUU, HAWAII"
1884,1,14,,,,2,0,,0,-34.917,-56.167,,1,,,,,,,,,,,URUGUAY,MONTEVIDEO
1884,1,25,,,,-1,0,,0,38,-122,,1,,,,,,,,,,,USA,N. CALIFORNIA
1884,1,,,,,1,1,,0,-16,179,,1,,,,,,,,1,,,FIJI,MACUATA
1884,2,,,,,2,6,,0,-6.102,105.423,,0,,0,,,,,,,,,INDONESIA,KRAKATAU
1884,7,20,9,30,,4,1,6.2,0,15.7,39.6,,1,,,,,,,,2,,,ERITREA,OFFSHORE MASSAWA
1884,8,10,19,7,,2,1,5.5,0,40.6,-73.75,1.8,9,,,,,,,,,,,USA,"ROCKAWAY BEACH, NEW YORK"
1884,9,19,,,,0,0,,0,42.35,-82.95,,1,,,,,,,,,,,USA,"IN THE DETROIT RIVER, MI"
1884,11,5,,,,1,1,7.5,0,7.5,-79,,3,,,,,,,,2,,,PANAMA,GULF OF PANAMA
1884,11,12,,,,1,9,,0,40,-122,0.1,1,,-3,,,,,,,,,USA,N. CALIFORNIA
1884,11,15,,,,-1,9,,0,,,,2,,0,,,,,,,,,JAPAN,OKAYAMA PREFECTURE
1884,12,21,,,,1,1,,0,41.31,-72.92,2.4,3,,,,,,,,,,,USA,"NEW HAVEN, CT"
1885,1,16,8,,,3,0,,0,,,,0,,4,,,,,,,,,FRANCE,LIGURIAN SEA
1885,1,29,7,30,,1,2,,0,36.85,4.53,,0,,,,,,,,,,,ALGERIA,ALGERIA
1885,4,30,,,,3,1,7.3,0,-2.5,127.5,1.2,2,,0.5,,,,,,1,3,,INDONESIA,MOLUCCAS ISLANDS
1885,7,29,,,,2,1,6.8,0,0,99.5,,1,,0,,,,,,,,,INDONESIA,"AJERBANGIS, SUMATRA"
1885,8,3,,,,3,0,,0,1.1,124.3,,2,,0,,,,,,,,,INDONESIA,SULAWESI ISLAND
1885,11,12,,,,3,1,,0,-20.2,-70.1,1,1,,0.5,,,,,,,,,CHILE,NORTHERN CHILE
1885,11,19,,,,1,9,,0,,,,1,,,,,,,,,,,USA,N. CALIFORNIA
1885,11,24,,,,-1,9,,0,,,,2,,,,,,,,,,,USA,N. CALIFORNIA
1885,12,14,,,,1,1,,0,5.55,95.3,,1,,,,,,,,,,,INDONESIA,BANDA ACEH
1886,1,31,,,,1,1,,0,5.6,95.3,,1,,,,,,,,,,,INDONESIA,BANDA ACEH
1886,6,1,,,,0,4,,0,-38.18,176.43,0.3,0,,,,,,,,,,,NEW ZEALAND,"LAKE TARAWERA, NORTH ISLAND"
1886,8,27,21,32,,3,1,7.5,0,37.1,21.5,,1,,3,,,,,,,,,GREECE,IONIAN SEA
1886,8,29,,,,-1,1,,0,,,,0,,,,,,,,,,,CHILE,SC. CHILE
1886,9,1,2,51,0,4,1,7.3,0,32.9,-80,,3,,,,,,,,,,,USA,"CHARLESTON, SC"
1886,12,,,,,4,8,,0,-43.957,168.616,,0,,,,,,,,,,,NEW ZEALAND,"JACKSON BAY, SOUTH ISLAND"
1886,,,,,,1,1,,0,,,,0,,,,,,,,,,,BANGLADESH,BAY OF BENGAL
1887,2,2,,,,1,1,,0,10.7,122.6,,1,,,,,,,,2,,,PHILIPPINES,PANAY ISLAND
1887,2,5,,,,-1,1,,0,19,-155,,1,,,,,,,,,,,USA,HAWAII
1887,2,23,6,20,,3,1,,0,43.7,8.1,2,0,,3,,,,,,,,,ITALY,LIGURIAN SEA
1887,5,3,9,,,1,3,7.4,0,30.8,-109.25,,1,,1,51,,,,,3,,,MEXICO,N. MEXICO
1887,5,19,,,,1,1,,0,5.4,96,,1,,,,,,,,,,,INDONESIA,"SIGLI, ACEH, SUMATRA"
1887,7,8,,,,2,0,,0,,,0.06,1,,,,,,,,,,,USA,N. CALIFORNIA
1887,9,23,12,,,4,1,,0,19.7,-74.4,,4,,,,,,,,,,,HAITI,MOLE SAINT-NICOLAS
1887,10,3,,,,2,1,6.2,0,38.3,22.8,,2,,3,,,,,,,,,GREECE,"PELOPONNESUS, GREECE"
1888,3,13,,,,4,7,,1,-5.52,148.121,15,12,3.4,3.5,,,,,,3,,,PAPUA NEW GUINEA,RITTER ISLAND
1888,3,21,,,,1,1,,0,5.8,95,,1,,,,,,,,,,,INDONESIA,BREUEH ISLAND
1888,4,23,,,,4,8,,0,63.433,10.383,7,2,,3,1,,,,,1,,,NORWAY,MID-NORWAY
1888,6,5,,,,1,1,,0,-34.5,-57.9,,0,,,,,,,,,,,URUGUAY,LA PLATA RIVER
1888,6,13,,,,0,1,7.5,0,38.5,119,,1,,,,,,,,3,,,CHINA,BOHAI GULF
1888,7,30,8,27,,2,1,,0,,,,0,,3,,,,,,,,,ITALY,LIGURIAN SEA
1888,9,9,15,4,,4,1,6.1,0,38.2,22.1,,0,,,,,,,,,,,GREECE,GULF OF CORINTH
1889,1,1,,,,1,0,,0,,,,0,,,,,,,,,,,USA,HAWAII
1889,3,8,,,,2,0,,0,,,11,3,,,,,,,,,,,TONGA,TONGA
1889,5,25,18,23,,3,1,6.8,0,13.5,121,0.1,1,,-3,,,,,,2,,,PHILIPPINES,MINDORO ISLAND
1889,8,16,,,,2,0,,0,-6.05,105.92,,1,,1,,,,,,,,,INDONESIA,JAVA-S. JAVA
1889,9,6,12,,,4,1,8,1,1,126.25,4,7,1,2.5,,,,,,2,,,INDONESIA,N. MOLUCCAS ISLANDS
1889,9,8,,,,-1,9,,0,,,,0,,,,,,,,,,,USA,"ASBURY PARK, NJ"
1889,9,8,,,,-1,,,0,,,,0,,,,,,,,,,,INDONESIA,MOLUCCAS ISLANDS
1889,11,23,,,,2,1,6,0,-7,113.5,,1,,1,,,,,,,,,INDONESIA,JAVA
1889,12,8,,,,1,1,,0,42.05,15.5,,1,,,,,,,,,,,ITALY,GARGANO PENINSULA
1890,7,11,7,55,,3,1,7.2,0,36.6,54.6,,2,,,171,,,,,3,,,IRAN,CASPIAN SEA
1891,1,15,3,55,,3,1,,0,36.5,1.8,,1,,,36,,,,,2,75,,ALGERIA,SEA OF ALBORAN
1891,5,19,,,,1,1,,0,5.4,96,,1,,,,,,,,,,,INDONESIA,"SIGLI, ACEH, SUMATRA"
1891,6,10,,,,3,0,,0,-0.5,127.5,,1,,0.5,,,,,,,,,INDONESIA,N. MOLUCCAS ISLANDS
1891,6,20,,,,3,0,,0,-4,129,,3,,0,,,,,,,,,INDONESIA,BANDA SEA
1891,6,22,23,0,,2,1,,0,-37.4,174.4,,1,,,,,,,,,,,NEW ZEALAND,NEW ZEALAND
1891,7,30,,,,1,2,,0,25.5,-103.5,,1,,1,,,,,,,,,MEXICO,N. MEXICO
1891,9,16,21,30,,2,0,,0,-43.51,172.73,,1,,,,,,,,,,,NEW ZEALAND,NEW BRIGHTON
1891,10,5,,,,3,1,7,0,-9,124,,1,,0.5,,,,,,,,,INDONESIA,TIMOR SEA
1891,11,29,23,21,,3,3,,4,48,-123.5,2.44,3,1.3,,,,,,,,,,USA,WASHINGTON
1892,1,7,,,,-1,6,,0,,,,0,,,,,,,,,,,INDONESIA,"AURI, HALMAHERA"
1892,3,27,,,,2,1,,0,-18.5,-70.35,,1,,,,,,,,1,,,CHILE,NORTHERN CHILE
1892,5,10,,,,1,0,,0,-34.917,-56.167,,0,,,,,,,,,,,URUGUAY,MONTEVIDEO
1892,5,16,11,10,,4,1,7.5,0,14,143.3,,1,,0.5,,,,,,2,,,USA TERRITORY,"GUAM, MARIANA ISLANDS"
1892,5,17,12,10,,3,1,,0,2.5,99.5,,6,,1,,,,,,2,,,INDONESIA,NORTHEAST SUMATRA
1892,6,7,,,,4,6,,0,3.67,125.5,0.75,5,1,1,1532,,,,,3,,,INDONESIA,"AWU VOLCANO, SANGIHE ISLAND"
1892,8,30,,,,3,6,,0,-19.75,-175.07,,2,,,,,,,,,,,TONGA,TOFUA
